name,station_id,empty_count
San Francisco Caltrain (Townsend at 4th),70,23450
Grant Avenue at Columbus Avenue,73,12338
San Francisco Caltrain 2 (330 Townsend),69,9852
Embarcadero at Bryant,54,9231
Harry Bridges Plaza (Ferry Building),50,7590
2nd at Townsend,61,6372
Embarcadero at Sansome,60,5894
Embarcadero at Vallejo,48,5868
Santa Clara at Almaden,4,5788
Townsend at 7th,65,5279
Howard at 2nd,63,4998
Ryland Park,84,4949
2nd at South Park,64,4740
Steuart at Market,74,3992
Commercial at Montgomery,45,2916
Cowper at University,37,2402
Mountain View City Hall,27,2359
5th at Howard,57,2282
Powell Street BART,39,1874
California Ave Caltrain Station,36,1745
Davis at Jackson,42,1608
Temporary Transbay Terminal (Howard at Beale),55,1528
San Jose Civic Center,3,1444
Washington at Kearney,46,1342
Market at 4th,76,1251
University and Emerson,35,1193
Clay at Battery,41,1100
Powell at Post (Union Square),71,1075
Beale at Market,56,1064
San Pedro Square,6,1037
Broadway St at Battery St,82,953
Mechanics Plaza (Market at Battery),75,939
Mountain View Caltrain Station,28,868
Charleston Park/ North Bayshore Area,33,852
Paseo de San Antonio,7,829
SJSU - San Salvador at 9th,16,681
Embarcadero at Folsom,51,670
San Jose Diridon Caltrain Station,2,626
Japantown,9,604
Market at Sansome,77,578
2nd at Folsom,62,567
SJSU 4th at San Carlos,12,550
MLK Library,11,487
Spear at Folsom,49,408
Yerba Buena Center of the Arts (3rd @ Howard),68,375
St James Park,13,321
Castro Street and El Camino Real,32,289
Post at Kearney,47,287
San Salvador at 1st,8,270
Adobe on Almaden,5,179
San Francisco City Hall,58,152
South Van Ness at Market,66,130
Market at 10th,67,41
Civic Center BART (7th at Market),72,6
5th St at Folsom St,90,5
5th S. at E. San Salvador St,88,3
S. Market st at Park Ave,89,2
San Antonio Shopping Center,31,2
Cyril Magnin St at Ellis St,91,1
Arena Green / SAP Center,14,0
Golden Gate at Polk,59,0
Middlefield Light Rail Station,30,0
Palo Alto Caltrain Station,34,0
Park at Olive,38,0
San Antonio Caltrain Station,29,0
San Jose City Hall,10,0
Santa Clara County Civic Center,80,0
